全市 12121 423304 4671620 12107364 2.59 989 
锦江区 61 917 187726 492891 2.63 7898 492891
青羊区 66 480 225809 640454 2.84 9540 640454
金牛区 108 933 295641 753821 2.55 6920 753821
武侯区 122 475 407214 1050178 2.58 8438 1050178
成华区 108 1340 278206 707758 2.54 6462 707758
龙泉驿区 556 8158 238953 631990 2.64 1121 330500
青白江区 379 18999 180706 416737 2.31 1097 210510
新都区 496 26208 282064 718625 2.55 1432 445547
温江区 276 13794 163761 403872 2.47 1439 322500
金堂县 1156 56799 340914 893830 2.62 772 228700
双流区 1068 43592 370079 1009687 2.73 931 434900
郫县 437 20815 204473 542525 2.65 1223 246269
大邑县 1284 29796 198562 512156 2.58 399 189497
蒲江县 580 24108 120114 266388 2.22 458 72964
新津县 329 15618 142421 311652 2.19 945 147819
都江堰市 1208 26827 245686 619279 2.52 511 337890
彭州市 1421 50860 301492 808507 2.68 568 283633
邛崃市 1377 44512 230174 657156 2.86 477 248700
崇州市 1089 39072 257625 669857 2.60 614 280000

