地区,行政区划面积,年末常住人口,其中,人口密度
,（平方公里）,（万人）,外来人口,（人/平方公里）
全市,6340.5,2425.68,996.42,3826
浦东新区,1210.41,545.12,235.65,4504
黄浦区,20.46,68.2,18.08,33333
徐汇区,54.76,110.97,28.55,20265
长宁区,38.3,69.86,17.41,18240
静安区,7.62,24.86,5.89,32625
普陀区,54.83,129.61,34.75,23639
闸北区,29.26,84.85,21.03,28999
虹口区,23.48,83.82,18.22,35698
杨浦区,60.73,132.37,26.75,21796
闵行区,370.75,253.95,128.6,6850
宝山区,270.99,202.4,85.56,7469
嘉定区,464.2,156.62,91.4,3374
金山区,586.05,79.71,26.96,1360
松江区,605.64,175.59,109.08,2899
青浦区,670.14,120.83,72.49,1803
奉贤区,687.39,116.76,60.81,1699
崇明县,1185.49,70.16,15.19,592
